Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,4,23,15.7,1,Y
IDCJAC0010,A764,2017,4,24,17.1,1,Y
IDCJAC0010,A764,2017,4,25,19.8,1,Y
IDCJAC0010,A764,2017,4,26,21.3,1,Y
IDCJAC0010,A764,2017,4,27,18.7,1,Y
IDCJAC0010,A764,2017,4,28,17.3,1,Y
IDCJAC0010,A764,2017,4,29,16.4,1,Y
IDCJAC0010,A764,2017,4,30,16.9,1,Y
IDCJAC0010,A764,2017,5,1,17.2,1,Y
IDCJAC0010,A764,2017,5,2,18,1,Y
IDCJAC0010,A764,2017,5,3,18.8,1,Y
IDCJAC0010,A764,2017,5,4,19.3,1,Y
IDCJAC0010,A764,2017,5,5,20.5,1,Y
IDCJAC0010,A764,2017,5,6,15.3,1,Y
IDCJAC0010,A764,2017,5,7,16.2,1,Y
IDCJAC0010,A764,2017,5,8,16.2,1,Y
IDCJAC0010,A764,2017,5,9,14,1,Y
IDCJAC0010,A764,2017,5,10,17.3,1,Y
IDCJAC0010,A764,2017,5,11,17.2,1,Y
IDCJAC0010,A764,2017,5,12,16.3,1,Y
IDCJAC0010,A764,2017,5,13,17.9,1,Y
IDCJAC0010,A764,2017,5,14,19,1,Y
IDCJAC0010,A764,2017,5,15,19.9,1,Y
IDCJAC0010,A764,2017,5,16,19.3,1,Y
IDCJAC0010,A764,2017,5,17,17.7,1,Y
IDCJAC0010,A764,2017,5,18,19.2,1,Y
IDCJAC0010,A764,2017,5,19,19,1,Y
IDCJAC0010,A764,2017,5,20,17.4,1,Y
IDCJAC0010,A764,2017,5,21,18.4,1,Y
IDCJAC0010,A764,2017,5,22,18.7,1,Y
IDCJAC0010,A764,2017,5,23,17.2,1,Y
IDCJAC0010,A764,2017,5,24,18.1,1,Y
IDCJAC0010,A764,2017,5,25,18.9,1,Y
IDCJAC0010,A764,2017,5,26,19.4,1,Y
IDCJAC0010,A764,2017,5,27,19.5,1,Y
IDCJAC0010,A764,2017,5,28,18.7,1,Y
IDCJAC0010,A764,2017,5,29,17.4,1,Y
IDCJAC0010,A764,2017,5,30,17.3,1,Y
IDCJAC0010,A764,2017,5,31,16.7,1,Y
IDCJAC0010,A764,2017,6,1,17.3,1,Y
IDCJAC0010,A764,2017,6,2,13.7,1,Y
IDCJAC0010,A764,2017,6,3,13.9,1,Y
IDCJAC0010,A764,2017,6,4,17.5,1,Y
IDCJAC0010,A764,2017,6,5,18.6,1,Y
IDCJAC0010,A764,2017,6,6,19.6,1,Y
IDCJAC0010,A764,2017,6,7,17.3,1,Y
IDCJAC0010,A764,2017,6,8,17.8,1,Y
IDCJAC0010,A764,2017,6,9,17.5,1,Y
IDCJAC0010,A764,2017,6,10,8.4,1,Y
IDCJAC0010,A764,2017,6,11,8.9,1,Y
IDCJAC0010,A764,2017,6,12,13.4,1,Y
IDCJAC0010,A764,2017,6,13,16,1,Y
IDCJAC0010,A764,2017,6,14,15.1,1,Y
IDCJAC0010,A764,2017,6,15,14.6,1,Y
