Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,7,17,27.6,1,Y
IDCJAC0010,A764,2017,7,18,22,1,Y
IDCJAC0010,A764,2017,7,19,24.3,1,Y
IDCJAC0010,A764,2017,7,20,27.8,1,Y
IDCJAC0010,A764,2017,7,21,29.1,1,Y
IDCJAC0010,A764,2017,7,22,28.2,1,Y
IDCJAC0010,A764,2017,7,23,29.3,1,Y
IDCJAC0010,A764,2017,7,24,26.9,1,Y
IDCJAC0010,A764,2017,7,25,27.5,1,Y
IDCJAC0010,A764,2017,7,26,26.6,1,Y
IDCJAC0010,A764,2017,7,27,26.5,1,Y
IDCJAC0010,A764,2017,7,28,27.5,1,Y
IDCJAC0010,A764,2017,7,29,27,1,Y
IDCJAC0010,A764,2017,7,30,26.5,1,Y
IDCJAC0010,A764,2017,7,31,24.7,1,Y
IDCJAC0010,A764,2017,8,1,26,1,Y
IDCJAC0010,A764,2017,8,2,28.3,1,Y
IDCJAC0010,A764,2017,8,3,25.8,1,Y
IDCJAC0010,A764,2017,8,4,24.8,1,Y
IDCJAC0010,A764,2017,8,5,26,1,Y
IDCJAC0010,A764,2017,8,6,27.4,1,Y
IDCJAC0010,A764,2017,8,7,30.4,1,Y
IDCJAC0010,A764,2017,8,8,30.8,1,Y
IDCJAC0010,A764,2017,8,9,33.9,1,Y
IDCJAC0010,A764,2017,8,10,33.4,1,Y
IDCJAC0010,A764,2017,8,11,32.9,1,Y
IDCJAC0010,A764,2017,8,12,33.6,1,Y
IDCJAC0010,A764,2017,8,13,33.6,1,Y
IDCJAC0010,A764,2017,8,14,29.4,1,Y
IDCJAC0010,A764,2017,8,15,28.8,1,Y
IDCJAC0010,A764,2017,8,16,23.4,1,Y
IDCJAC0010,A764,2017,8,17,19.5,1,Y
IDCJAC0010,A764,2017,8,18,21.6,1,Y
IDCJAC0010,A764,2017,8,19,30.1,1,Y
IDCJAC0010,A764,2017,8,20,33.1,1,Y
IDCJAC0010,A764,2017,8,21,24.2,1,Y
IDCJAC0010,A764,2017,8,22,29.6,1,Y
IDCJAC0010,A764,2017,8,23,30.8,1,Y
IDCJAC0010,A764,2017,8,24,30.2,1,Y
IDCJAC0010,A764,2017,8,25,30,1,Y
IDCJAC0010,A764,2017,8,26,31.1,1,Y
IDCJAC0010,A764,2017,8,27,32.1,1,Y
IDCJAC0010,A764,2017,8,28,32.9,1,Y
IDCJAC0010,A764,2017,8,29,33.9,1,Y
IDCJAC0010,A764,2017,8,30,35.2,1,Y
IDCJAC0010,A764,2017,8,31,34.4,1,Y
IDCJAC0010,A764,2017,9,1,33.3,1,Y
IDCJAC0010,A764,2017,9,2,31.5,1,Y
IDCJAC0010,A764,2017,9,3,31.1,1,Y
IDCJAC0010,A764,2017,9,4,30.6,1,Y
IDCJAC0010,A764,2017,9,5,31.4,1,Y
IDCJAC0010,A764,2017,9,6,31.9,1,Y
IDCJAC0010,A764,2017,9,7,33.2,1,Y
IDCJAC0010,A764,2017,9,8,33.9,1,Y
IDCJAC0010,A764,2017,9,9,33.7,1,Y
IDCJAC0010,A764,2017,9,10,32.8,1,Y
IDCJAC0010,A764,2017,9,11,35,1,Y
IDCJAC0010,A764,2017,9,12,34,1,Y
IDCJAC0010,A764,2017,9,13,33.6,1,Y
IDCJAC0010,A764,2017,9,14,33.3,1,Y
IDCJAC0010,A764,2017,9,15,35.4,1,Y
IDCJAC0010,A764,2017,9,16,35.1,1,Y
IDCJAC0010,A764,2017,9,17,34.2,1,Y
IDCJAC0010,A764,2017,9,18,34.2,1,Y
IDCJAC0010,A764,2017,9,19,33.4,1,Y
IDCJAC0010,A764,2017,9,20,34.4,1,Y
IDCJAC0010,A764,2017,9,21,33.5,1,Y
IDCJAC0010,A764,2017,9,22,32.4,1,Y
IDCJAC0010,A764,2017,9,23,32.8,1,Y
IDCJAC0010,A764,2017,9,24,34.2,1,Y
IDCJAC0010,A764,2017,9,25,33.4,1,Y
IDCJAC0010,A764,2017,9,26,32.1,1,Y
IDCJAC0010,A764,2017,9,27,35.4,1,Y
IDCJAC0010,A764,2017,9,28,34.9,1,Y
IDCJAC0010,A764,2017,9,29,34.5,1,Y
IDCJAC0010,A764,2017,9,30,23.6,1,Y
IDCJAC0010,A764,2017,10,1,31.8,1,Y
IDCJAC0010,A764,2017,10,2,27,1,Y
IDCJAC0010,A764,2017,10,3,24.7,1,Y
IDCJAC0010,A764,2017,10,4,29.4,1,Y
IDCJAC0010,A764,2017,10,5,36,1,Y
IDCJAC0010,A764,2017,10,6,35.4,1,Y
IDCJAC0010,A764,2017,10,7,30.5,1,Y
IDCJAC0010,A764,2017,10,8,35.1,1,Y
IDCJAC0010,A764,2017,10,9,36.2,1,Y
IDCJAC0010,A764,2017,10,10,37.6,1,Y
IDCJAC0010,A764,2017,10,11,37.5,1,Y
IDCJAC0010,A764,2017,10,12,37.5,1,Y
IDCJAC0010,A764,2017,10,13,37.4,1,Y
IDCJAC0010,A764,2017,10,14,38.4,1,Y
IDCJAC0010,A764,2017,10,15,36,1,Y
IDCJAC0010,A764,2017,10,16,35.9,1,Y
IDCJAC0010,A764,2017,10,17,35.6,1,Y
IDCJAC0010,A764,2017,10,18,35.4,1,Y
IDCJAC0010,A764,2017,10,19,36.4,1,Y
IDCJAC0010,A764,2017,10,20,36.6,1,Y
IDCJAC0010,A764,2017,10,21,33.2,1,Y
IDCJAC0010,A764,2017,10,22,28.1,1,Y
IDCJAC0010,A764,2017,10,23,26.5,1,Y
IDCJAC0010,A764,2017,10,24,33.7,1,Y
IDCJAC0010,A764,2017,10,25,35.7,1,Y
IDCJAC0010,A764,2017,10,26,36.7,1,Y
IDCJAC0010,A764,2017,10,27,35.8,1,Y
IDCJAC0010,A764,2017,10,28,32.1,1,Y
IDCJAC0010,A764,2017,10,29,28.2,1,Y
IDCJAC0010,A764,2017,10,30,29.3,1,Y
IDCJAC0010,A764,2017,10,31,29.1,1,Y
IDCJAC0010,A764,2017,11,1,31.2,1,Y
IDCJAC0010,A764,2017,11,2,32.1,1,Y
IDCJAC0010,A764,2017,11,3,32.4,1,Y
IDCJAC0010,A764,2017,11,4,31.5,1,Y
IDCJAC0010,A764,2017,11,5,24.4,1,Y
IDCJAC0010,A764,2017,11,6,29.7,1,Y
IDCJAC0010,A764,2017,11,7,30.9,1,Y
IDCJAC0010,A764,2017,11,8,31.4,1,Y
IDCJAC0010,A764,2017,11,9,31.2,1,Y
IDCJAC0010,A764,2017,11,10,31.8,1,Y
IDCJAC0010,A764,2017,11,11,30.3,1,Y
IDCJAC0010,A764,2017,11,12,31,1,Y
IDCJAC0010,A764,2017,11,13,32.2,1,Y
IDCJAC0010,A764,2017,11,14,34,1,Y
IDCJAC0010,A764,2017,11,15,34.4,1,Y
IDCJAC0010,A764,2017,11,16,34.5,1,Y
IDCJAC0010,A764,2017,11,17,30,1,Y
IDCJAC0010,A764,2017,11,18,30.8,1,Y
IDCJAC0010,A764,2017,11,19,28.5,1,Y
IDCJAC0010,A764,2017,11,20,31.6,1,Y
IDCJAC0010,A764,2017,11,21,26.1,1,Y
IDCJAC0010,A764,2017,11,22,27.5,1,Y
IDCJAC0010,A764,2017,11,23,30.9,1,Y
IDCJAC0010,A764,2017,11,24,33.6,1,Y
IDCJAC0010,A764,2017,11,25,34.5,1,Y
IDCJAC0010,A764,2017,11,26,25.1,1,Y
IDCJAC0010,A764,2017,11,27,27,1,Y
IDCJAC0010,A764,2017,11,28,31.4,1,Y
IDCJAC0010,A764,2017,11,29,32.3,1,Y
IDCJAC0010,A764,2017,11,30,31.1,1,Y
IDCJAC0010,A764,2017,12,1,22.4,1,Y
IDCJAC0010,A764,2017,12,2,28.1,1,Y
IDCJAC0010,A764,2017,12,3,31,1,Y
IDCJAC0010,A764,2017,12,4,33.6,1,Y
IDCJAC0010,A764,2017,12,5,33,1,Y
IDCJAC0010,A764,2017,12,6,28.5,1,Y
IDCJAC0010,A764,2017,12,7,30.7,1,Y
IDCJAC0010,A764,2017,12,8,31.9,1,Y
IDCJAC0010,A764,2017,12,9,33.1,1,Y
IDCJAC0010,A764,2017,12,10,33.5,1,Y
IDCJAC0010,A764,2017,12,11,32.6,1,Y
IDCJAC0010,A764,2017,12,12,31.8,1,Y
IDCJAC0010,A764,2017,12,13,31.8,1,Y
IDCJAC0010,A764,2017,12,14,31,1,Y
IDCJAC0010,A764,2017,12,15,32.4,1,Y
IDCJAC0010,A764,2017,12,16,31.6,1,Y
IDCJAC0010,A764,2017,12,17,32.7,1,Y
IDCJAC0010,A764,2017,12,18,33.1,1,Y
IDCJAC0010,A764,2017,12,19,34.4,1,Y
IDCJAC0010,A764,2017,12,20,32.8,1,Y
IDCJAC0010,A764,2017,12,21,26,1,Y
IDCJAC0010,A764,2017,12,22,27.2,1,Y
IDCJAC0010,A764,2017,12,23,32.3,1,Y
IDCJAC0010,A764,2017,12,24,33.5,1,Y
IDCJAC0010,A764,2017,12,25,30.6,1,Y
IDCJAC0010,A764,2017,12,26,33.3,1,Y
IDCJAC0010,A764,2017,12,27,34.4,1,Y
IDCJAC0010,A764,2017,12,28,33.7,1,Y
IDCJAC0010,A764,2017,12,29,32.4,1,Y
IDCJAC0010,A764,2017,12,30,26.3,1,Y
IDCJAC0010,A764,2017,12,31,22.8,1,Y
IDCJAC0010,A764,2018,1,1,31.6,1,Y
IDCJAC0010,A764,2018,1,2,29.1,1,Y
IDCJAC0010,A764,2018,1,3,26.9,1,Y
IDCJAC0010,A764,2018,1,4,31.6,1,Y
IDCJAC0010,A764,2018,1,5,31.8,1,Y
IDCJAC0010,A764,2018,1,6,27.9,1,Y
IDCJAC0010,A764,2018,1,7,26.4,1,Y
IDCJAC0010,A764,2018,1,8,24.6,1,Y
IDCJAC0010,A764,2018,1,9,27.2,1,Y
IDCJAC0010,A764,2018,1,10,31.8,1,Y
IDCJAC0010,A764,2018,1,11,31.3,1,Y
IDCJAC0010,A764,2018,1,12,28.7,1,Y
IDCJAC0010,A764,2018,1,13,31.9,1,Y
IDCJAC0010,A764,2018,1,14,32.5,1,Y
IDCJAC0010,A764,2018,1,15,31.2,1,Y
IDCJAC0010,A764,2018,1,16,31.5,1,Y
IDCJAC0010,A764,2018,1,17,33.7,1,Y
IDCJAC0010,A764,2018,1,18,33.5,1,Y
IDCJAC0010,A764,2018,1,19,34.5,1,Y
IDCJAC0010,A764,2018,1,20,34.8,1,Y
IDCJAC0010,A764,2018,1,21,33.5,1,Y
IDCJAC0010,A764,2018,1,22,34.2,1,Y
IDCJAC0010,A764,2018,1,23,35.8,1,Y
IDCJAC0010,A764,2018,1,24,34.5,1,Y
IDCJAC0010,A764,2018,1,25,32.9,1,Y
IDCJAC0010,A764,2018,1,26,32.1,1,Y
IDCJAC0010,A764,2018,1,27,33,1,Y
IDCJAC0010,A764,2018,1,28,33.7,1,Y
IDCJAC0010,A764,2018,1,29,30.9,1,Y
IDCJAC0010,A764,2018,1,30,27.5,1,Y
IDCJAC0010,A764,2018,1,31,30,1,Y
IDCJAC0010,A764,2018,2,1,31.7,1,Y
IDCJAC0010,A764,2018,2,2,31.4,1,Y
IDCJAC0010,A764,2018,2,3,31.7,1,Y
IDCJAC0010,A764,2018,2,4,29.9,1,Y
IDCJAC0010,A764,2018,2,5,28.6,1,Y
IDCJAC0010,A764,2018,2,6,29.8,1,Y
IDCJAC0010,A764,2018,2,7,31.4,1,Y
IDCJAC0010,A764,2018,2,8,32.7,1,Y
IDCJAC0010,A764,2018,2,9,34.2,1,Y
IDCJAC0010,A764,2018,2,10,27.1,1,Y
IDCJAC0010,A764,2018,2,11,33.7,1,Y
IDCJAC0010,A764,2018,2,12,32,1,Y
IDCJAC0010,A764,2018,2,13,32.1,1,Y
IDCJAC0010,A764,2018,2,14,26.6,1,Y
IDCJAC0010,A764,2018,2,15,31.1,1,Y
IDCJAC0010,A764,2018,2,16,31.8,1,Y
IDCJAC0010,A764,2018,2,17,31.8,1,Y
IDCJAC0010,A764,2018,2,18,30,1,Y
IDCJAC0010,A764,2018,2,19,30.1,1,Y
IDCJAC0010,A764,2018,2,20,29.1,1,Y
IDCJAC0010,A764,2018,2,21,31.4,1,Y
IDCJAC0010,A764,2018,2,22,32.7,1,Y
IDCJAC0010,A764,2018,2,23,33,1,Y
IDCJAC0010,A764,2018,2,24,31.4,1,Y
IDCJAC0010,A764,2018,2,25,31.4,1,Y
IDCJAC0010,A764,2018,2,26,25.3,1,Y
IDCJAC0010,A764,2018,2,27,30.3,1,Y
IDCJAC0010,A764,2018,2,28,33.1,1,Y
IDCJAC0010,A764,2018,3,1,32.3,1,Y
IDCJAC0010,A764,2018,3,2,31.1,1,Y
